 lr: 2.500000e-05, epoch: [3700/150000], all_loss: [0.0712], m_loss:[0.0470], s_loss:[0.0242] 
 lr: 2.500000e-05, epoch: [3800/150000], all_loss: [0.0374], m_loss:[0.0207], s_loss:[0.0167] 
 lr: 2.500000e-05, epoch: [3900/150000], all_loss: [0.0688], m_loss:[0.0466], s_loss:[0.0222] 
 lr: 2.500000e-05, epoch: [4000/150000], all_loss: [0.0571], m_loss:[0.0357], s_loss:[0.0214] 
 lr: 2.500000e-05, epoch: [4100/150000], all_loss: [0.0731], m_loss:[0.0423], s_loss:[0.0307] 
 lr: 2.500000e-05, epoch: [4200/150000], all_loss: [0.0444], m_loss:[0.0281], s_loss:[0.0163] 
 lr: 2.500000e-05, epoch: [4300/150000], all_loss: [0.0388], m_loss:[0.0228], s_loss:[0.0159] 
 lr: 2.500000e-05, epoch: [4400/150000], all_loss: [0.0749], m_loss:[0.0469], s_loss:[0.0280] 
 lr: 2.500000e-05, epoch: [4500/150000], all_loss: [0.0526], m_loss:[0.0383], s_loss:[0.0144] 
 lr: 2.500000e-05, epoch: [4600/150000], all_loss: [0.1015], m_loss:[0.0662], s_loss:[0.0353] 
 lr: 2.500000e-05, epoch: [4700/150000], all_loss: [0.0996], m_loss:[0.0612], s_loss:[0.0384] 
 lr: 2.500000e-05, epoch: [4800/150000], all_loss: [0.0836], m_loss:[0.0645], s_loss:[0.0191] 
 lr: 2.500000e-05, epoch: [4900/150000], all_loss: [0.0270], m_loss:[0.0139], s_loss:[0.0131] 
 lr: 2.500000e-05, epoch: [5000/150000], all_loss: [0.0435], m_loss:[0.0246], s_loss:[0.0190] 
 iCoseg Cosal2015 f: [0.8397], m: [0.0793], f: [0.8476], m: [0.0874]
 lr: 2.500000e-05, epoch: [5100/150000], all_loss: [0.0507], m_loss:[0.0333], s_loss:[0.0174] 
 lr: 2.500000e-05, epoch: [5200/150000], all_loss: [0.0522], m_loss:[0.0292], s_loss:[0.0230] 
 lr: 2.500000e-05, epoch: [5300/150000], all_loss: [0.0700], m_loss:[0.0445], s_loss:[0.0256] 
 lr: 2.500000e-05, epoch: [5400/150000], all_loss: [0.0317], m_loss:[0.0202], s_loss:[0.0115] 
 lr: 2.500000e-05, epoch: [5500/150000], all_loss: [0.1082], m_loss:[0.0678], s_loss:[0.0404] 
 lr: 2.500000e-05, epoch: [5600/150000], all_loss: [0.0488], m_loss:[0.0333], s_loss:[0.0155] 
 lr: 2.500000e-05, epoch: [5700/150000], all_loss: [0.0849], m_loss:[0.0575], s_loss:[0.0274] 
 lr: 2.500000e-05, epoch: [5800/150000], all_loss: [0.0412], m_loss:[0.0295], s_loss:[0.0117] 
 lr: 2.500000e-05, epoch: [5900/150000], all_loss: [0.0203], m_loss:[0.0110], s_loss:[0.0093] 
 lr: 2.500000e-05, epoch: [6000/150000], all_loss: [0.0380], m_loss:[0.0251], s_loss:[0.0129] 
 lr: 2.500000e-05, epoch: [6100/150000], all_loss: [0.1100], m_loss:[0.0697], s_loss:[0.0403] 
 lr: 2.500000e-05, epoch: [6200/150000], all_loss: [0.0624], m_loss:[0.0339], s_loss:[0.0284] 
 lr: 2.500000e-05, epoch: [6300/150000], all_loss: [0.0685], m_loss:[0.0373], s_loss:[0.0313] 
 lr: 2.500000e-05, epoch: [6400/150000], all_loss: [0.1634], m_loss:[0.1211], s_loss:[0.0423] 
 lr: 2.500000e-05, epoch: [6500/150000], all_loss: [0.0594], m_loss:[0.0388], s_loss:[0.0207] 
 lr: 2.500000e-05, epoch: [6600/150000], all_loss: [0.0569], m_loss:[0.0420], s_loss:[0.0150] 
 lr: 2.500000e-05, epoch: [6700/150000], all_loss: [0.0675], m_loss:[0.0418], s_loss:[0.0257] 
 lr: 2.500000e-05, epoch: [6800/150000], all_loss: [0.0334], m_loss:[0.0232], s_loss:[0.0101] 
 lr: 2.500000e-05, epoch: [6900/150000], all_loss: [0.0424], m_loss:[0.0271], s_loss:[0.0153] 
 lr: 2.500000e-05, epoch: [7000/150000], all_loss: [0.0292], m_loss:[0.0179], s_loss:[0.0113] 
 lr: 2.500000e-05, epoch: [7100/150000], all_loss: [0.0730], m_loss:[0.0454], s_loss:[0.0276] 
 lr: 2.500000e-05, epoch: [7200/150000], all_loss: [0.0272], m_loss:[0.0173], s_loss:[0.0099] 
 lr: 2.500000e-05, epoch: [7300/150000], all_loss: [0.0724], m_loss:[0.0489], s_loss:[0.0234] 
 lr: 2.500000e-05, epoch: [7400/150000], all_loss: [0.0614], m_loss:[0.0364], s_loss:[0.0251] 
